[2026-02-11 11:18:55,234] INFO      [HARSHIT] ZERODHA_WS_RESPONSE | payload={'account_id': 'RGZ539', 'unfilled_quantity': 0, 'checksum': '', 'placed_by': 'RGZ539', 'order_id': '260211150772011', 'exchange_order_id': '1100000035027687', 'parent_order_id': None, 'status': 'CANCELLED', 'status_message': None, 'status_message_raw': None, 'order_timestamp': '2026-02-11 11:18:55', 'exchange_update_timestamp': '2026-02-11 11:18:55', 'exchange_timestamp': '2026-02-11 11:18:55', 'variety': 'regular', 'exchange': 'NSE', 'tradingsymbol': 'IDEA', 'instrument_token': 3677697, 'order_type': 'LIMIT', 'transaction_type': 'BUY', 'validity': 'DAY', 'product': 'MIS', 'quantity': 1, 'disclosed_quantity': 0, 'price': 10.5, 'trigger_price': 0, 'average_price': 0, 'filled_quantity': 0, 'pending_quantity': 0, 'cancelled_quantity': 1, 'market_protection': 0, 'meta': {}, 'tag': None, 'guid': '1770788935-195680-RGZ539-ADMINAPI'}
[2026-02-11 11:18:55,235] INFO      [HARSHIT] BLITZ_RESPONSE | order_id=260211150772011 payload={'SequenceNumber': 0, 'Account': '', 'ExchangeClientID': 'HARSHIT', 'BlitzAppOrderID': 3156807924, 'ExchangeOrderID': '260211150772011', 'ExchangeSegment': 'NSECM', 'ExchangeInstrumentID': 14366, 'OrderSide': 'Buy', 'OrderType': 'LIMIT', 'ProductType': 'MIS', 'TimeInForce': 'GFD', 'OrderPrice': 10.4, 'OrderQuantity': 1, 'OrderStopPrice': 0.0, 'OrderStatus': 'Cancelled', 'OrderAverageTradedPrice': 0, 'LeavesQuantity': 0, 'CumulativeQuantity': 0, 'OrderDisclosedQuantity': 0, 'OrderGeneratedDateTime': None, 'ExchangeTransactTime': '2026-02-11 11:18:55', 'LastUpdateDateTime': '2026-02-11 11:18:55', 'CancelRejectReason': '', 'LastTradedPrice': 0, 'LastTradedQuantity': 0, 'LastExecutionTransactTime': '2026-02-11 11:18:55', 'ExecutionID': '1100000035027687'}
[2026-02-11 11:18:55,291] INFO      [HARSHIT] [WS] CANCEL published | order_id=260211150772011
[2026-02-11 11:18:55,292] INFO      [HARSHIT] ZERODHA_WS_RESPONSE | payload={'account_id': 'RGZ539', 'unfilled_quantity': 0, 'checksum': '', 'placed_by': 'RGZ539', 'order_id': '260211150772011', 'exchange_order_id': '1100000035027687', 'parent_order_id': None, 'status': 'CANCELLED', 'status_message': None, 'status_message_raw': None, 'order_timestamp': '2026-02-11 11:18:55', 'exchange_update_timestamp': '2026-02-11 11:18:55', 'exchange_timestamp': '2026-02-11 11:18:55', 'variety': 'regular', 'exchange': 'NSE', 'tradingsymbol': 'IDEA', 'instrument_token': 3677697, 'order_type': 'LIMIT', 'transaction_type': 'BUY', 'validity': 'DAY', 'product': 'MIS', 'quantity': 1, 'disclosed_quantity': 0, 'price': 10.5, 'trigger_price': 0, 'average_price': 0, 'filled_quantity': 0, 'pending_quantity': 1, 'cancelled_quantity': 1, 'market_protection': 0, 'meta': {}, 'tag': None, 'guid': '1770788893-935138-RGZ539-ADMINAPI'}
[2026-02-11 11:19:42,071] INFO      [HARSHIT] ZERODHA_WS_RESPONSE | payload={'account_id': 'RGZ539', 'unfilled_quantity': 0, 'checksum': '', 'placed_by': 'RGZ539', 'order_id': '260211150706752', 'exchange_order_id': '1100000031553638', 'parent_order_id': None, 'status': 'CANCELLED', 'status_message': None, 'status_message_raw': None, 'order_timestamp': '2026-02-11 11:19:41', 'exchange_update_timestamp': '2026-02-11 11:19:41', 'exchange_timestamp': '2026-02-11 11:19:41', 'variety': 'regular', 'exchange': 'NSE', 'tradingsymbol': 'IDEA', 'instrument_token': 3677697, 'order_type': 'LIMIT', 'transaction_type': 'BUY', 'validity': 'DAY', 'product': 'MIS', 'quantity': 1, 'disclosed_quantity': 0, 'price': 10.5, 'trigger_price': 0, 'average_price': 0, 'filled_quantity': 0, 'pending_quantity': 0, 'cancelled_quantity': 1, 'market_protection': 0, 'meta': {}, 'tag': None, 'guid': '1770788981-943396-RGZ539-ADMINAPI'}
[2026-02-11 11:19:42,075] WARNING   [HARSHIT] ZERODHA_WS_PENDING | order_id=260211150706752 payload={'account_id': 'RGZ539', 'unfilled_quantity': 0, 'checksum': '', 'placed_by': 'RGZ539', 'order_id': '260211150706752', 'exchange_order_id': '1100000031553638', 'parent_order_id': None, 'status': 'CANCELLED', 'status_message': None, 'status_message_raw': None, 'order_timestamp': '2026-02-11 11:19:41', 'exchange_update_timestamp': '2026-02-11 11:19:41', 'exchange_timestamp': '2026-02-11 11:19:41', 'variety': 'regular', 'exchange': 'NSE', 'tradingsymbol': 'IDEA', 'instrument_token': 3677697, 'order_type': 'LIMIT', 'transaction_type': 'BUY', 'validity': 'DAY', 'product': 'MIS', 'quantity': 1, 'disclosed_quantity': 0, 'price': 10.5, 'trigger_price': 0, 'average_price': 0, 'filled_quantity': 0, 'pending_quantity': 0, 'cancelled_quantity': 1, 'market_protection': 0, 'meta': {}, 'tag': None, 'guid': '1770788981-943396-RGZ539-ADMINAPI'}
[2026-02-11 11:19:42,076] INFO      [HARSHIT] ZERODHA_WS_RESPONSE | payload={'account_id': 'RGZ539', 'unfilled_quantity': 0, 'checksum': '', 'placed_by': 'RGZ539', 'order_id': '260211150706752', 'exchange_order_id': '1100000031553638', 'parent_order_id': None, 'status': 'CANCELLED', 'status_message': None, 'status_message_raw': None, 'order_timestamp': '2026-02-11 11:19:41', 'exchange_update_timestamp': '2026-02-11 11:19:41', 'exchange_timestamp': '2026-02-11 11:19:41', 'variety': 'regular', 'exchange': 'NSE', 'tradingsymbol': 'IDEA', 'instrument_token': 3677697, 'order_type': 'LIMIT', 'transaction_type': 'BUY', 'validity': 'DAY', 'product': 'MIS', 'quantity': 1, 'disclosed_quantity': 0, 'price': 10.5, 'trigger_price': 0, 'average_price': 0, 'filled_quantity': 0, 'pending_quantity': 1, 'cancelled_quantity': 1, 'market_protection': 0, 'meta': {}, 'tag': None, 'guid': '1770787812-523356-RGZ539-ADMINAPI'}
[2026-02-11 11:19:42,076] WARNING   [HARSHIT] ZERODHA_WS_PENDING | order_id=260211150706752 payload={'account_id': 'RGZ539', 'unfilled_quantity': 0, 'checksum': '', 'placed_by': 'RGZ539', 'order_id': '260211150706752', 'exchange_order_id': '1100000031553638', 'parent_order_id': None, 'status': 'CANCELLED', 'status_message': None, 'status_message_raw': None, 'order_timestamp': '2026-02-11 11:19:41', 'exchange_update_timestamp': '2026-02-11 11:19:41', 'exchange_timestamp': '2026-02-11 11:19:41', 'variety': 'regular', 'exchange': 'NSE', 'tradingsymbol': 'IDEA', 'instrument_token': 3677697, 'order_type': 'LIMIT', 'transaction_type': 'BUY', 'validity': 'DAY', 'product': 'MIS', 'quantity': 1, 'disclosed_quantity': 0, 'price': 10.5, 'trigger_price': 0, 'average_price': 0, 'filled_quantity': 0, 'pending_quantity': 1, 'cancelled_quantity': 1, 'market_protection': 0, 'meta': {}, 'tag': None, 'guid': '1770787812-523356-RGZ539-ADMINAPI'}
[2026-02-11 11:20:20,261] INFO      [HARSHIT] [WS] Stopping WebSocket connection
[2026-02-11 11:20:20,262] INFO      [HARSHIT] [WS] State cleared
[2026-02-11 11:20:20,262] INFO      [HARSHIT] Adapter STOP | Zerodha adapter stopped
